user id,group,after,converted,total ads,most ads day,most ads hour
904595,psa,False,False,13,Tuesday,19
901904,psa,False,False,32,Wednesday,19
906079,ad,False,False,37,Monday,10
909288,psa,False,False,22,Friday,0
903660,psa,False,False,1,Tuesday,19
907603,ad,False,False,163,Thursday,4
913727,ad,False,False,176,Wednesday,19
910533,psa,False,False,21,Thursday,15
915142,psa,False,False,2,Tuesday,19
908642,psa,False,False,3,Tuesday,19
915758,psa,False,False,35,Tuesday,20
900840,psa,False,False,7,Tuesday,19
903040,ad,False,False,25,Thursday,1
901407,ad,False,False,80,Monday,19
909601,psa,False,False,34,Wednesday,19
921780,psa,False,False,139,Friday,21
904902,ad,False,False,77,Sunday,16
910154,psa,False,False,132,Thursday,22
901332,ad,False,False,18,Wednesday,19
907176,psa,False,False,42,Sunday,13
906457,psa,False,False,86,Saturday,9
913037,ad,False,False,59,Thursday,16
913526,psa,False,False,75,Thursday,1
909691,ad,False,False,27,Wednesday,19
910412,ad,False,False,103,Sunday,10
909949,psa,False,False,98,Sunday,8
915357,ad,False,False,63,Thursday,7
915726,psa,False,False,47,Friday,3
914030,psa,False,False,50,Friday,22
912118,ad,False,False,50,Thursday,22
900213,psa,False,False,159,Thursday,13
919727,psa,False,False,139,Wednesday,21
915434,ad,False,False,399,Friday,16
920557,ad,False,False,2,Wednesday,7
911787,psa,False,False,24,Friday,17
903327,psa,False,False,2,Tuesday,19
902327,psa,False,False,92,Saturday,20
918906,psa,False,False,222,Saturday,9
919730,psa,False,False,9,Sunday,21
900131,psa,False,False,22,Thursday,18
922700,ad,False,False,70,Sunday,19
912809,ad,False,False,24,Thursday,19
904434,psa,False,True,7,Tuesday,20
918924,psa,False,False,40,Thursday,9
901678,psa,False,False,17,Sunday,19
916675,psa,False,False,348,Monday,18
920737,ad,False,True,77,Monday,13
912256,ad,False,False,220,Tuesday,8
913736,ad,False,False,214,Friday,18
908926,psa,False,False,180,Thursday,15
913139,ad,False,False,21,Wednesday,17
901749,psa,False,True,364,Friday,21
903671,psa,False,False,119,Saturday,7
920853,psa,False,False,69,Thursday,6
915614,psa,False,False,169,Friday,19
901935,ad,False,False,69,Saturday,0
900645,psa,False,False,31,Friday,18
901832,ad,False,False,27,Monday,20
922350,ad,False,False,60,Friday,18
917913,psa,False,False,261,Sunday,20
908371,psa,False,False,298,Monday,12
903639,ad,False,False,12,Sunday,20
908675,psa,False,False,202,Thursday,20
914119,psa,False,False,134,Wednesday,6
913825,psa,False,False,809,Wednesday,20
911160,psa,False,True,227,Wednesday,20
911735,ad,False,False,10,Wednesday,22
906229,psa,False,False,81,Wednesday,18
915760,psa,False,False,27,Thursday,12
901776,psa,False,False,84,Thursday,11
900775,psa,False,False,10,Thursday,19
913073,ad,False,False,139,Sunday,18
907124,ad,False,True,343,Sunday,20
903543,psa,False,False,84,Saturday,19
923078,psa,False,False,16,Tuesday,20
914782,ad,False,False,168,Wednesday,23
906809,ad,False,False,43,Sunday,7
904873,ad,False,False,30,Wednesday,20
901420,psa,False,False,74,Thursday,15
902658,ad,False,False,41,Friday,20
919269,psa,False,False,190,Thursday,15
906943,ad,False,False,40,Saturday,20
900634,psa,False,False,52,Thursday,22
908639,psa,False,False,18,Sunday,14
921340,psa,False,False,34,Wednesday,10
913540,psa,False,False,2,Tuesday,20
911895,psa,False,False,88,Sunday,9
914485,psa,False,False,61,Sunday,16
902466,psa,False,False,79,Thursday,2
909098,psa,False,False,19,Sunday,21
910158,psa,False,False,102,Thursday,22
914172,psa,False,False,91,Friday,6
904130,ad,False,False,4,Monday,13
921658,psa,False,False,200,Friday,21
918126,psa,False,False,32,Monday,19
904220,psa,False,False,29,Wednesday,21
915536,ad,False,False,114,Thursday,2
912755,ad,False,False,138,Wednesday,20
905971,ad,False,False,14,Sunday,11
912389,psa,False,False,314,Saturday,10
910905,psa,False,False,153,Thursday,23
906139,ad,False,False,92,Monday,20
918189,ad,False,False,126,Saturday,19
918965,ad,False,False,67,Thursday,7
913160,psa,False,False,10,Wednesday,20
922282,psa,False,False,12,Thursday,21
917869,psa,False,False,38,Monday,14
903882,psa,False,False,352,Saturday,22
921129,psa,False,False,101,Saturday,21
914489,psa,False,False,90,Saturday,11
921127,ad,False,False,31,Wednesday,9
914182,ad,False,False,1,Tuesday,21
919198,psa,False,False,73,Friday,19
922128,ad,False,False,149,Friday,21
907230,psa,False,False,70,Tuesday,21
901723,psa,False,True,133,Friday,21
909096,ad,False,False,33,Friday,14
923330,psa,False,False,37,Thursday,17
912229,psa,False,False,87,Sunday,12
922421,ad,False,False,33,Tuesday,10
907815,ad,False,False,5,Tuesday,21
907125,ad,False,False,13,Wednesday,23
901743,psa,False,False,2,Wednesday,21
916766,ad,False,False,12,Monday,22
923232,psa,False,False,44,Wednesday,14
917033,psa,False,False,4,Sunday,21
922681,psa,False,False,97,Thursday,20
915235,psa,False,False,53,Thursday,13
904417,ad,False,False,31,Wednesday,22
920714,psa,False,False,6,Tuesday,21
910529,ad,False,False,98,Tuesday,11
908510,psa,False,False,36,Thursday,19
903019,ad,False,False,38,Wednesday,12
916818,psa,False,False,134,Saturday,8
904008,psa,False,False,86,Saturday,21
923072,psa,False,False,11,Saturday,8
920406,psa,False,False,9,Friday,19
919612,psa,False,False,62,Thursday,21
907746,ad,False,False,29,Wednesday,17
907536,psa,False,False,182,Saturday,11
903496,psa,False,False,67,Sunday,13
903272,ad,False,False,12,Friday,23
911564,psa,False,False,143,Thursday,11
914177,ad,False,False,11,Tuesday,21
903799,ad,False,False,89,Saturday,13
910366,psa,False,False,10,Tuesday,23
909978,psa,False,False,51,Wednesday,13
905938,ad,False,False,24,Thursday,0
922609,ad,False,False,27,Monday,10
905058,psa,False,False,40,Friday,18
905611,ad,False,False,135,Thursday,21
917938,ad,False,False,215,Thursday,10
922643,psa,False,False,2,Tuesday,22
906716,psa,False,False,46,Monday,9
920115,ad,False,False,12,Wednesday,19
900023,psa,False,False,47,Thursday,21
903218,ad,False,False,60,Saturday,21
911473,psa,False,False,60,Thursday,23
909643,psa,False,False,183,Friday,22
904299,ad,False,False,69,Saturday,15
902599,ad,False,False,28,Monday,21
920530,ad,False,False,45,Saturday,1
911889,psa,False,False,4,Tuesday,22
903830,psa,False,False,10,Wednesday,22
912868,psa,False,False,56,Friday,11
908124,ad,False,False,71,Friday,19
914947,ad,False,False,60,Wednesday,9
905735,ad,False,False,21,Sunday,18
908503,ad,False,False,2,Friday,21
918721,ad,False,False,32,Friday,0
914953,ad,False,False,72,Sunday,14
909391,ad,False,False,34,Friday,18
907471,psa,False,False,106,Thursday,8
915864,ad,False,False,15,Tuesday,22
918188,ad,False,False,1,Tuesday,22
901765,ad,False,False,58,Tuesday,9
908338,ad,False,False,466,Friday,22
907269,psa,False,False,106,Tuesday,22
912598,ad,False,False,3,Sunday,7
916041,ad,False,False,2,Tuesday,22
911774,ad,False,False,2,Tuesday,22
912737,ad,False,False,47,Thursday,21
905082,ad,False,False,1,Tuesday,22
923408,psa,False,False,7,Thursday,7
904813,psa,False,False,78,Saturday,18
914705,psa,False,False,33,Saturday,20
923373,ad,False,False,28,Thursday,22
904559,ad,False,False,181,Friday,12
921782,psa,False,False,190,Wednesday,16
911459,psa,False,True,354,Saturday,15
903675,ad,False,False,4,Tuesday,17
915711,ad,False,False,21,Monday,16
900124,ad,False,False,61,Wednesday,11
904088,psa,False,False,53,Friday,16
913130,ad,False,False,20,Tuesday,22
909139,ad,False,False,34,Tuesday,22
910678,psa,False,False,52,Friday,7
904780,ad,False,False,20,Tuesday,15
920363,ad,False,False,22,Sunday,22
908097,psa,False,False,7,Tuesday,22
917394,ad,False,False,2,Tuesday,22
919364,ad,False,False,64,Friday,23
915538,ad,False,False,82,Friday,0
913492,psa,False,False,224,Friday,22
915381,psa,False,False,9,Sunday,0
903298,ad,False,False,93,Monday,11
910080,ad,False,False,3,Wednesday,17
904536,psa,False,False,2,Tuesday,0
905412,ad,False,False,107,Sunday,12
915589,ad,False,False,23,Thursday,1
902706,psa,False,False,46,Saturday,11
918693,psa,False,False,88,Friday,23
909415,ad,False,False,41,Wednesday,22
